iter;T;amounts;Components;phases;ellapsed_time;possible_phases;P;Error
7;571;[0.17661175751465297, 0.4963831649356843, 0.07368570081543552, 0.0510514735124309, 0.05150092477655099, 0.050312165362973026, 0.05043611522892596, 0.05001869785334639];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149459360056319970445214495245627617579611732099053379970460353261980889842055452614276353494107212946053602215468578123414934339323109103503090311510386858806246628317069370828173778527288898842734065719827053010380390258313330987337209493690713725371293257668399641073574532951274675586948712659603500857829447067881946962069727830926690597473851742879744;13.428127699997276;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
8;1384;[0.13378442737165464, 0.4345795594875044, 0.12095218246241743, 0.095336317782168, 0.056578065255711685, 0.05512090014263365, 0.05132301850438691, 0.052325528993523385];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149459360056319970445214495245627617579611732099053379970460353261980889842055452614276353494107212946053602215468578123414934339323109103503090311510386858806246628317069370828173778527288898842734065719823779619772494116443317797640381894538497083325250192878916349705478399154870001032065442567277596700678560383754386891060510574380805204420523215290368;13.345652299991343;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
9;866;[0.3652298064789155, 0.07675320579714476, 0.06260509188170696, 0.07795240610237567, 0.19241363670350725, 0.11697813862230534, 0.05742230875337876, 0.050645405660665894];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149459360056319970445214495245627617579611732099053379970460353261980889842055452614276353494107212946053602215468578123414934339323109103503090311510386858806246628317069370828173778527288898842734065719823779619772494116443317797640381894538497083325250192878916349705478399154870001032065442567277596700678560383754386891060510574380805204420523215290368;13.459177799988538;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
10;1863;[0.4076140536886576, 0.163486625454838, 0.08242747302639886, 0.10341553393180183, 0.09065393275836137, 0.051689400726850264, 0.050090951458984186, 0.050622028954107876];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149459360056319970445214495245627617579611732099053379970460353261980889842055452614276353494107212946053602215468578123414934339323109103503090311510386858806246628317069370828173778527288898842734065719823779619772494116443317797640381894538497083325250192878916349705478399154870001032065442567277596700678560383754386891060510574380805204420523215290368;13.623843399982434;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
11;1392;[0.5112781776255056, 0.09723022134694188, 0.07688770499915627, 0.06023641808966278, 0.05017682564307222, 0.0892165240279029, 0.060862188049457214, 0.054111940218300986];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149459360056319970445214495245627617579611732099053379970460353261980889842055452614276353494107212946053602215468578123414934339323109103503090311510386858806246628317069370828173778527288898842734065719823779619772494116443317797640381894538497083325250192878916349705478399154870001032065442567277596700678560383754386891060510574380805204420523215290368;13.312567999993917;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
12;1031;[0.3578511963625952, 0.08143279885024518, 0.21505311129433324, 0.13324537850102136, 0.05794985177931979, 0.051533575715197545, 0.05230939631194498, 0.050624691185342574];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149459360056319970445214495245627617579611732099053379970460353261980889842055452614276353494107212946053602215468578123414934339323109103503090311510386858806246628317069370828173778527288898842734065719823779619772494116443317797640381894538497083325250192878916349705478399154870001032065442567277596700678560383754386891060510574380805204420523215290368;13.41332260001218;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
13;2472;[0.6011083374274455, 0.07929072807798261, 0.0595831093966257, 0.05112204065570591, 0.05323344183287433, 0.05559128834001838, 0.050067200355264956, 0.050003853914082526];18164086843900000;60844839774924148238142269859916978064086373404491991975915826011673682734432134714646288481719754139091013723359270453541148462652137217644574502590692222521874431367008624814019036061005928350489929646067880223094402069016673043075392774325623040220306694603043335524411707590863822893579285907407740031198497451629951882665241663206495023939517445217031207791022131985480278883911585421901801830259900894116959550448770495228674048;13.39619689999381;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
14;1286;[0.5768887568505582, 0.1193112454192479, 0.05033259193110826, 0.05172546206075802, 0.05012630876726616, 0.05129198340474366, 0.0503114257240106, 0.05001222584230723];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149459360056319970445214495245627617579611732099053379970460353261980889842055452614276353494107212946053602215468578123414934339323109103503090311510386858806246628317069370828173778527288898842734065719823779619772494116443317797640381894538497083325250192878916349705478399154870001032065442567277596700678560383754386891060510574380805204420523215290368;13.586034899984952;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
15;2246;[0.6181101590871879, 0.055266029531464755, 0.06404918934428434, 0.05762826627339885, 0.05477099938229545, 0.050163774550881765, 0.05000946581021801, 0.05000211602026884];18164086843900000;60844839774924148238142269859916978064086373404491991975915826011673682734432134714646288481719754139091013723359270453541148462652137217644574502590692222521874431367008624814019036061005928350489929646067880223094402069016673043075392774325623040220306694603043335524411707590863822893579285907407740031198497451629951882665241663206495023939517445217031207791022131985480278883911585421901801830259900894116959550448770495228674048;13.58863760001259;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
16;1576;[0.2922102585459619, 0.29221342084035445, 0.09420970108581646, 0.1167347204885176, 0.05336211687848655, 0.051012610319525205, 0.05019669077970531, 0.050060481061632384];18164086843900000;60844839774924148238142269859916978064086373411153068580501041424105836543945149459360056319970445214495245627617579611732099053379970460353261980889842055452614276353494107212946053602215468578123414934339323109103503090311510386858806246628317069370828173778527288898842734065719823779619772494116443317797640381894538497083325250192878916349705478399154870001032065442567277596700678560383754386891060510574380805204420523215290368;13.470890399999917;8558039834531271110329700367419095489801340099075973444654067842007301269714468741042689391026423422362650161443003661355675315655623821695294210904606663448822626227455133324647209888222142830749213356334796948191466278266836697787295172286118952057072963106917762052399224162846642585050453154896169191045413922541679805676131203301122877543412429199940268041924297126848243366408705335227189927219299886873812961373511589124016915658963788801224294206108223980808282171258867341324443636100454490011073630286582688421397091314234946364803883896915452571048345663157901765975736320;101325;
