,T_min,T_max,T**0,T**(-1.0),T,T**2.0,T**3.0,Tlog(T),phase,S1,S2,T**4.0,T**(-9.0),S3,S4,T**(-3.0),T**(-2.0),T**7.0,S5,T**(-5.0),T**(-7.0),Tlog(1.0e-5*P)
53,298.150000000000,1234.93000000000,-35856.5816504000,-8007.73370000000,81.0122820671000,-0.00119378301950000,-2.65737952900000e-7,-15.8983491443800,AG2DY,AG,DY,,,,,,,,,,,
54,,,0,,,,,,AG2DY,AG,DY,,,,,,,,,,,
55,1000.00000000000,1654.15000000000,-35627.3182224000,0.00578675040042000,73.5375109022000,0.00556310366733000,-1.16555955238800e-6,-14.6079843554700,AG2DY,AG,DY,,,,,,,,,,,
56,1654.15000000000,3000.00000000000,-165930.300954300,36535092.1254000,679.519761950000,0.0192747950277300,-9.20471770284000e-7,-90.6989132016000,AG2DY,AG,DY,,,,,,,,,,,
57,1234.93000000000,3000.00000000000,-41114.0045084000,,129.057611546800,,,-22.3157824000000,AG2DY,AG,DY,,9.41229059100000e+28,,,,,,,,,
58,298.150000000000,1234.93000000000,-40141.5816504000,-8007.73370000000,80.8822820671000,-0.00119378301950000,-2.65737952900000e-7,-15.8983491443800,AG2ER,AG,ER,,,,,,,,,,,
59,,,0,,,,,,AG2ER,AG,ER,,,,,,,,,,,
60,1802.00000000000,3200.00000000000,-183882.879059800,41320267.2267000,746.369935262800,0.0219813193149000,-1.01370028650000e-6,-99.3684389956500,AG2ER,AG,ER,,,,,,,,,,,
61,1234.93000000000,3000.00000000000,-45399.0045084000,,128.927611546800,,,-22.3157824000000,AG2ER,AG,ER,,9.41229059100000e+28,,,,,,,,,
62,298.150000000000,1234.93000000000,-20728.5360000000,-36033.0000000000,354.606039000000,-0.00537175500000000,-1.19576100000000e-6,-71.5389942000000,AG2GA,AG,AG,,,,,,,,,,,
63,,,0,,,,,,AG2GA,AG,AG,,,,,,,,,,,
64,298.150000000000,6000.00000000000,0,,,,,,AG2GA,AG,AG,,,,,,,,,,,
65,298.150000000000,1234.93000000000,3980.97600000000,-24022.0000000000,236.404026000000,-0.00358117000000000,-7.97174000000000e-7,-47.6926628000000,AG2GA,AG,VA,,,,,,,,,,,
66,,,0,,,,,,AG2GA,AG,VA,,,,,,,,,,,
67,298.150000000000,6000.00000000000,17800.0000000000,,,,,,AG2GA,AG,VA,,,,,,,,,,,
68,298.150000000000,1234.93000000000,-46508.1908000000,-24022.0000000000,236.404026000000,-0.00358117000000000,-7.97174000000000e-7,-47.6926628000000,AG2GA,AG,GA,,,,,,,,,,,
69,,,0,,,,,,AG2GA,AG,GA,,,,,,,,,,,
70,298.150000000000,6000.00000000000,-32689.1668000000,,,,,,AG2GA,AG,GA,,,,,,,,,,,
71,298.150000000000,6000.00000000000,-32689.1668000000,,,,,,AG2GA,AG,GA,,,,,,,,,,,
72,298.150000000000,6000.00000000000,6368.88797000000,,-14.8261554000000,,,,AG2GA,AG,AG,,,,,,,,,,,
73,,,0,,,,,,AG2GA,AG,AG,,,,,,,,,,,
74,298.150000000000,6000.00000000000,3641.22858000000,,,,,,AG2GA,AG,AG,,,,,,,,,,,
75,,,0,,,,,,AG2GA,AG,AG,,,,,,,,,,,
76,298.150000000000,1234.93000000000,-89119.0240000000,-24022.0000000000,236.404026000000,-0.00358117000000000,-7.97174000000000e-7,-47.6926628000000,AG2GD_C11B,AG,GD,,,,,,,,,,,
77,,,0,,,,,,AG2GD_C11B,AG,GD,,,,,,,,,,,
